	Gene.ID	Gene.Name	Bit.Score	Evalue_num
1574	KH2012:KH.C11.305	FRRS1	47.8	2.81e-06
1575	KH2012:KH.C11.307	AADACL3	152	6.84e-42
1576	KH2012:KH.C11.309	CES5A	279	1.81e-86
1577	KH2012:KH.C11.31	PARP1	156	5.95e-38
1578	KH2012:KH.C11.310	TTC13	407	2.6e-129
1579	KH2012:KH.C11.313	FOXA2	232	1.88e-69
1580	KH2012:KH.C11.314	FOS	111	1.24e-26
1581	KH2012:KH.C11.316	TRMT61A	298	2.83e-100
1582	KH2012:KH.C11.317	MUT	799	0
1583	KH2012:KH.C11.318	ADAMTS1	662	0
1584	KH2012:KH.C11.319	FBXO16	214	5.67e-66
1585	KH2012:KH.C11.32	STUM	90.9	4.56e-24
1586	KH2012:KH.C11.322	SLC17A5	291	6.95e-93
1587	KH2012:KH.C11.323	ZNRF2	142	6.06e-42
1588	KH2012:KH.C11.324	KCNJ5	473	1.36e-164
1589	KH2012:KH.C11.325	PHLDA3	63.2	1.79e-12
1590	KH2012:KH.C11.326	TTC8	642	0
1591	KH2012:KH.C11.328	SERPINC1	169	7.29e-48
1592	KH2012:KH.C11.33	NXPE4	145	3.27e-37
1593	KH2012:KH.C11.331	FBLN5	111	3.08e-26
1594	KH2012:KH.C11.332	RYR1	2305	0
1595	KH2012:KH.C11.334	CDT1	302	2.23e-94
1596	KH2012:KH.C11.336	CNPY4	214	7.55e-70
1597	KH2012:KH.C11.337	HMGCR	573	0
1598	KH2012:KH.C11.338	ANKRD27	496	1.84e-157
1599	KH2012:KH.C11.339	RPLP2	95.9	5.25e-27
1600	KH2012:KH.C11.340	CNIH1	214	6.84e-72
1601	KH2012:KH.C11.341	CPPED1	283	3.79e-95
1602	KH2012:KH.C11.342	SLCO4A1	483	1.64e-162
1603	KH2012:KH.C11.343	CLP1	595	0
1604	KH2012:KH.C11.344	PCK1	887	0
1605	KH2012:KH.C11.345	ITLN1	137	2.2e-36
1606	KH2012:KH.C11.349	WDR20	427	7.88e-142
1607	KH2012:KH.C11.35	MPPE1	276	2.72e-91
1608	KH2012:KH.C11.350	FAM166B	119	7.86e-32
1609	KH2012:KH.C11.351	ILF2	440	8.38e-155
1610	KH2012:KH.C11.352	METTL24	55.5	1.05e-08
1611	KH2012:KH.C11.354	FAM161B	173	1.3e-45
1612	KH2012:KH.C11.355	RABEP1	164	8.21e-42
1613	KH2012:KH.C11.357	CPSF4	314	8.3e-108
1614	KH2012:KH.C11.358	PGAM2	171	6.47e-55
1615	KH2012:KH.C11.359	AADAC	148	1.23e-40
1616	KH2012:KH.C11.361	RNF215	156	3.37e-44
1617	KH2012:KH.C11.363	FRRS1	50.4	2.49e-07
1618	KH2012:KH.C11.364	LRP1B	68.2	4.65e-13
1619	KH2012:KH.C11.365	PHF12	168	3.34e-42
1620	KH2012:KH.C11.366	FSIP1	75.9	1.42e-14
1621	KH2012:KH.C11.368	TMEM243	64.3	1.82e-14
1622	KH2012:KH.C11.369	RAD51	326	1.65e-112
1623	KH2012:KH.C11.37	ANKRD28	697	0
1624	KH2012:KH.C11.370	BBOX1	85.1	2.1e-19
1625	KH2012:KH.C11.371	RNF40	671	0
1626	KH2012:KH.C11.372	PCM1	189	1.67e-48
1627	KH2012:KH.C11.373	SRC	128	1.22e-34
1628	KH2012:KH.C11.374	KCNH2	816	0
1629	KH2012:KH.C11.375	RIPK1	119	2.31e-28
1630	KH2012:KH.C11.377	PHKB	1036	0
1631	KH2012:KH.C11.378	CLDN7	113	2.75e-31
1632	KH2012:KH.C11.379	NUP155	545	2.47e-177
1633	KH2012:KH.C11.38	EVA1C	80.9	8.63e-18
1634	KH2012:KH.C11.380	MIB2	202	5.02e-58
1635	KH2012:KH.C11.381	PKNOX2	310	1.61e-101
1636	KH2012:KH.C11.382	RIPK1	102	7.04e-23
1637	KH2012:KH.C11.383	BRSK1	661	0
1638	KH2012:KH.C11.385	CARMIL1	627	0
1639	KH2012:KH.C11.386	LRP11	43.9	0.00018
1640	KH2012:KH.C11.388	GATAD2B	179	1.96e-48
1641	KH2012:KH.C11.389	NPHS1	224	3.52e-59
1642	KH2012:KH.C11.39	STRN	708	0
1643	KH2012:KH.C11.390	ADGRB1	75.9	2.41e-14
1644	KH2012:KH.C11.391	EDEM2	634	0
1645	KH2012:KH.C11.392	TSR1	691	0
1646	KH2012:KH.C11.395	TMEM98	140	1.62e-41
1647	KH2012:KH.C11.397	SUB1	70.5	1.03e-16
1648	KH2012:KH.C11.398	EPDR1	46.6	1.75e-07
1649	KH2012:KH.C11.399	WDR97	160	1.1e-41
1650	KH2012:KH.C11.4	MYH2	2591	0
1651	KH2012:KH.C11.40	RAD51D	158	1.09e-45
1652	KH2012:KH.C11.400	ZGPAT	232	1.03e-68
1653	KH2012:KH.C11.402	BSCL2	84.3	1.51e-17
1654	KH2012:KH.C11.403	SLC35B2	452	9.48e-158
1655	KH2012:KH.C11.404	CYP2J2	218	6.29e-65
1656	KH2012:KH.C11.406	C20orf96	63.2	5.77e-11
1657	KH2012:KH.C11.408	METTL24	72.8	2.45e-14
1658	KH2012:KH.C11.410	CATSPERG	101	5.57e-22
1659	KH2012:KH.C11.415	PP2D1	79.0	1.91e-15
1660	KH2012:KH.C11.417	NOVA1	350	6.36e-116
1661	KH2012:KH.C11.418	FSD1	93.6	4.13e-20
1662	KH2012:KH.C11.419	GJC1	197	2.7e-59
1663	KH2012:KH.C11.420	ATG5	244	8.22e-81
1664	KH2012:KH.C11.422	NUDT1	153	8.01e-48
1665	KH2012:KH.C11.423	DTX4	52.4	2.39e-07
1666	KH2012:KH.C11.424	BEGAIN	105	2.88e-24
1667	KH2012:KH.C11.425	FOLH1	286	1.28e-84
1668	KH2012:KH.C11.426	ALKBH6	199	1.22e-63
1669	KH2012:KH.C11.428	LRP4	257	5.37e-69
1670	KH2012:KH.C11.429	LSM3	180	8.13e-61
1671	KH2012:KH.C11.43	ZAN	310	2.4e-88
1672	KH2012:KH.C11.430	TMPRSS3	181	9.1e-54
1673	KH2012:KH.C11.431	ATG14	171	3.09e-47
1674	KH2012:KH.C11.432	KL	612	0
1675	KH2012:KH.C11.433	CD63	73.9	2.9e-16
1676	KH2012:KH.C11.434	DLGAP5	131	3.37e-31
1677	KH2012:KH.C11.435	MOCS1	437	2.3e-149
1678	KH2012:KH.C11.436	GALM	306	3.12e-103
1679	KH2012:KH.C11.438	MATN2	120	5.92e-28
1680	KH2012:KH.C11.439	RLBP1	279	2.65e-93
1681	KH2012:KH.C11.44	B4GALT2	278	3.58e-90
1682	KH2012:KH.C11.444	RIN2	152	1.33e-37
1683	KH2012:KH.C11.446	GBE1	950	0
1684	KH2012:KH.C11.447	CYP2A13	259	8.45e-81
1685	KH2012:KH.C11.449	TPGS1	134	5.81e-38
1686	KH2012:KH.C11.450	CEBPZ	414	2.58e-131
1687	KH2012:KH.C11.451	PTPRQ	140	2.16e-33
1688	KH2012:KH.C11.452	TTC12	155	1.68e-39
1689	KH2012:KH.C11.453	CHP1	219	1.77e-73
1690	KH2012:KH.C11.454	TFF1	34.7	0.007
1691	KH2012:KH.C11.456	MYH10	2367	0
1692	KH2012:KH.C11.459	RBM3	69.7	1.55e-15
1693	KH2012:KH.C11.46	H3F3A	273	1.01e-95
1694	KH2012:KH.C11.460	SLC10A5	152	1.61e-41
1695	KH2012:KH.C11.461	STN1	53.1	3.5e-08
1696	KH2012:KH.C11.466	PEX12	231	1.68e-73
1697	KH2012:KH.C11.467	GAS2L2	272	8.78e-79
1698	KH2012:KH.C11.468	ZBTB44	55.5	8.04e-08
1699	KH2012:KH.C11.471	ATP2C1	1158	0
1700	KH2012:KH.C11.478	STK40	120	2.66e-32
1701	KH2012:KH.C11.479	MLEC	270	1.79e-90
1702	KH2012:KH.C11.48	CR2	41.6	3.65e-06
1703	KH2012:KH.C11.480	C19orf24	55.1	2.24e-10
1704	KH2012:KH.C11.481	IRF4	67.4	8.25e-12
1705	KH2012:KH.C11.483	NDRG1	259	1.34e-83
1706	KH2012:KH.C11.484	FLII	1503	0
1707	KH2012:KH.C11.485	IRX6	169	2.05e-46
1708	KH2012:KH.C11.486	SLC39A1	135	1.51e-36
1709	KH2012:KH.C11.487	CALM3	44.3	1.17e-05
1710	KH2012:KH.C11.488	PAX9	256	7.88e-82
1711	KH2012:KH.C11.489	ADGRB3	102	7.17e-22
1712	KH2012:KH.C11.49	PLEKHH1	645	0
1713	KH2012:KH.C11.490	FAM69C	50.1	8.09e-07
1714	KH2012:KH.C11.491	KCP	154	1.83e-37
1715	KH2012:KH.C11.492	NXPE3	185	2.17e-51
1716	KH2012:KH.C11.493	CRYAB	71.6	1.23e-15
1717	KH2012:KH.C11.494	TSSK6	137	2.41e-39
1718	KH2012:KH.C11.495	SSTR2	166	2.64e-47
1719	KH2012:KH.C11.498	KAT5	581	0
1720	KH2012:KH.C11.50	IVD	604	0
1721	KH2012:KH.C11.501	PPP3R1	295	6.53e-104
1722	KH2012:KH.C11.502	KLHL26	208	9.83e-59
1723	KH2012:KH.C11.503	SYMPK	986	0
1724	KH2012:KH.C11.505	CPPED1	197	3.07e-62
1725	KH2012:KH.C11.506	CCDC88A	870	0
1726	KH2012:KH.C11.507	UNCX	87.4	1.11e-20
1727	KH2012:KH.C11.509	MFNG	238	1.3e-76
1728	KH2012:KH.C11.512	SELP	92.0	1.96e-20
1729	KH2012:KH.C11.513	ERN2	51.6	8.54e-08
1730	KH2012:KH.C11.516	CR1	82.0	2.84e-17
1731	KH2012:KH.C11.517	STX16	300	2.84e-101
1732	KH2012:KH.C11.518	ABCG4	286	1.29e-87
1733	KH2012:KH.C11.519	PRPS2	64.3	1.38e-11
1734	KH2012:KH.C11.521	FANCM	684	0
1735	KH2012:KH.C11.522	COG2	536	0
1736	KH2012:KH.C11.523	CCSAP	62.0	2.29e-11
1737	KH2012:KH.C11.526	MVK	226	1.27e-70
1738	KH2012:KH.C11.527	MRPL58	115	3.56e-32
1739	KH2012:KH.C11.528	CYP2A13	263	4e-82
1740	KH2012:KH.C11.530	SLC7A8	542	0
1741	KH2012:KH.C11.531	CYP3A4	308	4.09e-99
1742	KH2012:KH.C11.532	SPRTN	238	2.2e-74
1743	KH2012:KH.C11.533	CIRBP	73.9	4.92e-16
1744	KH2012:KH.C11.534	CYP2A13	270	9.2e-85
1745	KH2012:KH.C11.535	DPF1	298	2.76e-98
1746	KH2012:KH.C11.536	SEL1L3	163	2.85e-41
1747	KH2012:KH.C11.537	CBS	221	1.63e-67
1748	KH2012:KH.C11.538	ELL	138	2.37e-34
1749	KH2012:KH.C11.539	SLC20A1	311	5.96e-98
1750	KH2012:KH.C11.54	DET1	600	0
1751	KH2012:KH.C11.540	NOVA1	135	1.5e-38
1752	KH2012:KH.C11.541	ALPL	500	3.22e-172
1753	KH2012:KH.C11.542	CD63	70.5	4.92e-14
1754	KH2012:KH.C11.543	ALX3	88.6	3.77e-20
1755	KH2012:KH.C11.544	DIMT1	441	1.69e-157
1756	KH2012:KH.C11.545	SPATA48	43.5	0.000103
1757	KH2012:KH.C11.546	GLCE	546	0
1758	KH2012:KH.C11.549	GLCE	546	0
1759	KH2012:KH.C11.55	WDR25	167	4.16e-48
1760	KH2012:KH.C11.550	RXFP1	64.7	4.38e-13
1761	KH2012:KH.C11.551	PAPOLA	651	0
1762	KH2012:KH.C11.552	AADACL3	157	5.86e-44
1763	KH2012:KH.C11.553	MED1	149	6.41e-36
1764	KH2012:KH.C11.554	PRSS3	142	1.23e-42
1765	KH2012:KH.C11.555	SPINK6	36.2	0.000141
1766	KH2012:KH.C11.556	SLF1	104	3.6e-23
1767	KH2012:KH.C11.557	MTO1	674	0
1768	KH2012:KH.C11.558	LIPM	246	1.28e-77
1769	KH2012:KH.C11.56	WDR26	658	0
1770	KH2012:KH.C11.560	PPAT	583	0
1771	KH2012:KH.C11.561	CDCA3	44.7	8.79e-05
1772	KH2012:KH.C11.562	RGS3	100	3.04e-23
1773	KH2012:KH.C11.563	BRMS1L	251	3.83e-81
1774	KH2012:KH.C11.566	TMEM134	81.3	2.01e-19
1775	KH2012:KH.C11.567	SPTLC2	402	2.74e-137
1776	KH2012:KH.C11.568	CYP2U1	264	2.19e-82
1777	KH2012:KH.C11.570	RFNG	75.9	1.19e-17
1778	KH2012:KH.C11.571	MDC1	148	2.09e-38
1779	KH2012:KH.C11.572	C1D	125	1.33e-36
1780	KH2012:KH.C11.573	MARS	880	0
1781	KH2012:KH.C11.574	DRD2	72.4	3.32e-13
1782	KH2012:KH.C11.575	PARP1	408	7.44e-132
1783	KH2012:KH.C11.577	RGS4	83.6	1.25e-17
1784	KH2012:KH.C11.579	VPS45	654	0
1785	KH2012:KH.C11.58	XRN2	716	0
1786	KH2012:KH.C11.580	DRC7	790	0
1787	KH2012:KH.C11.583	TP53I13	38.5	0.004
1788	KH2012:KH.C11.585	HLCS	269	7.76e-81
1789	KH2012:KH.C11.586	ATL1	55.8	1.57e-08
1790	KH2012:KH.C11.587	EPDR1	62.8	3.19e-12
1791	KH2012:KH.C11.59	FASN	239	9.16e-71
1792	KH2012:KH.C11.593	CHRM1	325	8.03e-106
1793	KH2012:KH.C11.595	PPP1R15A	50.4	2.34e-06
1794	KH2012:KH.C11.596	SLC13A5	468	4.84e-159
1795	KH2012:KH.C11.598	PLAC8	36.2	0.000676
1796	KH2012:KH.C11.6	CTIF	103	8.62e-23
1797	KH2012:KH.C11.60	FASN	67.0	2.37e-14
1798	KH2012:KH.C11.600	SMOC1	101	9.61e-23
1799	KH2012:KH.C11.601	RBX1	67.0	3.57e-16
1800	KH2012:KH.C11.603	EI24	211	4.3e-66
1801	KH2012:KH.C11.604	CYP3A43	51.2	2.11e-09
1802	KH2012:KH.C11.605	CD40LG	40.0	0.000604
1803	KH2012:KH.C11.607	PAFAH1B1	639	0
1804	KH2012:KH.C11.608	IRX6	176	5.43e-49
1805	KH2012:KH.C11.61	SKA1	68.6	1.18e-13
1806	KH2012:KH.C11.610	TMEM267	108	2.29e-29
1807	KH2012:KH.C11.611	SNRPD2	157	5.77e-51
1808	KH2012:KH.C11.612	THRB	290	1.4e-91
1809	KH2012:KH.C11.613	PUF60	478	3.46e-165
1810	KH2012:KH.C11.614	GINS3	143	2.05e-42
1811	KH2012:KH.C11.615	Z83844.1	51.2	2.67e-08
1812	KH2012:KH.C11.616	CFAP74	174	2.12e-48
1813	KH2012:KH.C11.617	BPIFC	47.4	4.38e-07
1814	KH2012:KH.C11.618	TSSK1B	252	8.98e-82
1815	KH2012:KH.C11.619	NLRP11	42.4	0.000533
1816	KH2012:KH.C11.62	PHGDH	80.5	1.11e-16
1817	KH2012:KH.C11.620	UHRF1	827	0
1818	KH2012:KH.C11.622	DZANK1	434	7.62e-142
1819	KH2012:KH.C11.623	AL928654.3	128	5.87e-41
1820	KH2012:KH.C11.625	SLC22A18	225	1.48e-69
1821	KH2012:KH.C11.626	NCBP3	64.7	4.87e-11
1822	KH2012:KH.C11.627	CLDN18	88.2	3.6e-21
1823	KH2012:KH.C11.628	GYS1	799	0
1824	KH2012:KH.C11.63	CYP3A5	293	1.08e-93
1825	KH2012:KH.C11.630	TRIM71	162	1.97e-41
1826	KH2012:KH.C11.635	ZFR	261	5.27e-72
1827	KH2012:KH.C11.636	SPRED2	99.0	3.36e-22
1828	KH2012:KH.C11.637	CHAC2	238	4.58e-81
1829	KH2012:KH.C11.638	MALT1	203	4.84e-56
1830	KH2012:KH.C11.639	CFAP100	45.8	2.73e-05
1831	KH2012:KH.C11.64	EFCAB8	114	4.16e-27
1832	KH2012:KH.C11.640	SLC17A5	385	1.11e-129
1833	KH2012:KH.C11.641	AIFM2	157	1.58e-44
1834	KH2012:KH.C11.643	UQCRC2	209	8.46e-63
1835	KH2012:KH.C11.644	TMEM179	129	6.46e-37
1836	KH2012:KH.C11.647	MRPS27	48.5	2.13e-06
1837	KH2012:KH.C11.648	SERPINB9	162	1.02e-45
1838	KH2012:KH.C11.65	TOMM22	92.0	4.39e-25
1839	KH2012:KH.C11.652	CTSA	348	2.84e-115
1840	KH2012:KH.C11.653	DPF2	108	1.85e-27
1841	KH2012:KH.C11.654	ODF3	181	1.74e-56
1842	KH2012:KH.C11.655	EVI5L	269	1.37e-81
1843	KH2012:KH.C11.656	PIWIL1	691	0
1844	KH2012:KH.C11.657	HLX	105	4.44e-24
1845	KH2012:KH.C11.658	BMT2	238	7.17e-76
1846	KH2012:KH.C11.660	TRPM2	465	2.92e-143
1847	KH2012:KH.C11.663	KREMEN1	147	7.99e-39
1848	KH2012:KH.C11.665	CETN3	45.8	6.86e-07
1849	KH2012:KH.C11.668	STAB2	75.5	4.98e-14
1850	KH2012:KH.C11.67	STAB2	55.5	6.51e-10
1851	KH2012:KH.C11.670	TMEM184B	456	5.09e-161
1852	KH2012:KH.C11.671	SPATA22	60.8	3.6e-10
1853	KH2012:KH.C11.672	INTS8	211	1.04e-56
1854	KH2012:KH.C11.673	TNNI1	184	3.01e-59
1855	KH2012:KH.C11.674	CUZD1	97.8	3.99e-21
1856	KH2012:KH.C11.676	TP53RK	244	6.74e-82
1857	KH2012:KH.C11.677	MED25	170	2.62e-44
1858	KH2012:KH.C11.678	C5orf34	94.4	3.47e-20
1859	KH2012:KH.C11.68	HYLS1	110	8.11e-28
1860	KH2012:KH.C11.680	UNC93A	122	3.2e-30
1861	KH2012:KH.C11.681	B4GAT1	64.3	1.81e-13
1862	KH2012:KH.C11.682	SLCO4A1	228	1.33e-68
1863	KH2012:KH.C11.683	CRISPLD2	73.6	6.99e-14
1864	KH2012:KH.C11.684	NXPE3	114	3.61e-29
1865	KH2012:KH.C11.685	DPCD	207	2.27e-68
1866	KH2012:KH.C11.687	CYP2J2	252	9.3e-78
1867	KH2012:KH.C11.688	TMX1	190	2.6e-59
1868	KH2012:KH.C11.689	VSX2	128	3.22e-35
1869	KH2012:KH.C11.69	FKBP2	159	2.84e-51
1870	KH2012:KH.C11.690	B3GALT1	97.4	1.99e-22
1871	KH2012:KH.C11.691	RPS6KA4	803	0
1872	KH2012:KH.C11.692	NEK2	438	2.84e-151
1873	KH2012:KH.C11.693	CCDC42	250	4.28e-82
1874	KH2012:KH.C11.694	MFSD4B	251	1.01e-77
1875	KH2012:KH.C11.696	DRD1	49.3	2.44e-07
1876	KH2012:KH.C11.697	HUNK	338	6.85e-105
1877	KH2012:KH.C11.698	LGR4	327	2.38e-95
1878	KH2012:KH.C11.699	LGR6	97.4	4.31e-22
1879	KH2012:KH.C11.7	DICER1	1246	0
1880	KH2012:KH.C11.700	SIAH1	472	6.9e-170
1881	KH2012:KH.C11.701	NAT8	33.9	0.005
1882	KH2012:KH.C11.702	TCHP	289	3.39e-92
1883	KH2012:KH.C11.703	MBTPS1	1130	0
1884	KH2012:KH.C11.704	MED29	112	1.43e-30
1885	KH2012:KH.C11.706	MLXIP	257	5.91e-73
1886	KH2012:KH.C11.707	NIPA2	270	1.29e-88
1887	KH2012:KH.C11.709	CRHBP	94.4	1.98e-22
1888	KH2012:KH.C11.71	SMIM18	38.1	0.001
1889	KH2012:KH.C11.712	NSUN5	338	1.21e-112
1890	KH2012:KH.C11.715	RTN4RL2	102	1.1e-23
1891	KH2012:KH.C11.716	PHGDH	498	4.07e-173
1892	KH2012:KH.C11.718	FOXA1	236	2.87e-72
1893	KH2012:KH.C11.720	TRA2B	185	3.29e-57
1894	KH2012:KH.C11.721	ADGRD1	159	8.54e-40
1895	KH2012:KH.C11.723	PKMYT1	280	8.44e-87
1896	KH2012:KH.C11.724	CRLS1	199	2.66e-62
1897	KH2012:KH.C11.726	SLC2A3	175	3.4e-49
1898	KH2012:KH.C11.727	SAP18	182	8.04e-60
1899	KH2012:KH.C11.729	SMIM18	48.1	9.38e-09
1900	KH2012:KH.C11.731	C19orf12	73.9	1.31e-17
1901	KH2012:KH.C11.734	STAB2	68.6	8.86e-12
1902	KH2012:KH.C11.735	ZNF22	140	1.91e-41
1903	KH2012:KH.C11.736	KLHL12	271	2.22e-83
1904	KH2012:KH.C11.737	CALML3	52.4	1.92e-09
1905	KH2012:KH.C11.74	TMEM259	360	1.05e-115
1906	KH2012:KH.C11.76	MAPK14	489	2.02e-175
1907	KH2012:KH.C11.77	RTN4RL2	71.6	6.17e-14
1908	KH2012:KH.C11.79	TEPP	130	7.26e-37
1909	KH2012:KH.C11.8	SLC39A1	131	3.42e-35
1910	KH2012:KH.C11.80	KIF5C	159	1.28e-39
1911	KH2012:KH.C11.81	COG1	398	4.52e-123
1912	KH2012:KH.C11.82	HNRNPL	409	1.6e-138
1913	KH2012:KH.C11.83	DNTTIP2	156	3.37e-43
1914	KH2012:KH.C11.84	MAP2K5	376	3.52e-127
1915	KH2012:KH.C11.85	BBOX1	99.8	1.72e-24
1916	KH2012:KH.C11.86	PTK7	497	1.04e-157
1917	KH2012:KH.C11.87	CCDC65	473	9.71e-164
1918	KH2012:KH.C11.88	CNIH4	164	4.62e-53
1919	KH2012:KH.C11.89	NID2	477	8.85e-146
1920	KH2012:KH.C11.9	INTS13	511	9.22e-173
1921	KH2012:KH.C11.90	SSTR2	104	1.44e-24
1922	KH2012:KH.C11.91	LRP1B	84.3	3.82e-17
1923	KH2012:KH.C11.93	NAT6	96.7	8.01e-24
1924	KH2012:KH.C11.94	PUM3	377	4.08e-123
1925	KH2012:KH.C11.96	CDON	42.4	0.000397
1926	KH2012:KH.C11.97	DSCC1	287	3.29e-94
1927	KH2012:KH.C11.98	GAL3ST1	213	3.09e-65
1928	KH2012:KH.C11.99	ATP2A1	1532	0
1929	KH2012:KH.C12.1	ACOT2	205	5.42e-61
1930	KH2012:KH.C12.100	GON4L	166	5.1e-41
1931	KH2012:KH.C12.101	ATL2	194	1.31e-52
1932	KH2012:KH.C12.103	LMNA	228	7.31e-68
1933	KH2012:KH.C12.104	CASP7	200	1.6e-62
1934	KH2012:KH.C12.105	PRDM1	190	9.58e-52
1935	KH2012:KH.C12.107	RPL10	257	2.62e-88
1936	KH2012:KH.C12.108	RRP12	403	1.18e-124
1937	KH2012:KH.C12.109	KCTD7	250	5.13e-83
1938	KH2012:KH.C12.110	CASC1	394	6.33e-127
1939	KH2012:KH.C12.111	PLAC8	68.6	1.84e-15
1940	KH2012:KH.C12.112	ALOX5	348	1.21e-110
1941	KH2012:KH.C12.114	UBE2D2	255	3.73e-89
1942	KH2012:KH.C12.115	SLC23A2	487	8.38e-166
1943	KH2012:KH.C12.116	PAX5	236	1.41e-68
1944	KH2012:KH.C12.117	NGDN	156	1.09e-45
1945	KH2012:KH.C12.118	FBXL4	420	2.12e-139
1946	KH2012:KH.C12.119	SH3KBP1	142	1.5e-35
1947	KH2012:KH.C12.12	CYP4F8	337	3.79e-110
1948	KH2012:KH.C12.121	PRKG1	985	0
1949	KH2012:KH.C12.127	CFAP36	107	7.26e-26
1950	KH2012:KH.C12.128	ATG2A	850	0
1951	KH2012:KH.C12.129	EZR	652	0
1952	KH2012:KH.C12.13	FRAS1	2867	0
1953	KH2012:KH.C12.131	MYO9A	37.7	0.006
1954	KH2012:KH.C12.134	WAPL	347	1.77e-102
1955	KH2012:KH.C12.135	LINGO1	81.3	6.46e-16
1956	KH2012:KH.C12.137	PPP3CA	700	0
1957	KH2012:KH.C12.138	MRPS31	104	4.52e-25
1958	KH2012:KH.C12.139	STYK1	194	1.05e-54
1959	KH2012:KH.C12.14	CDH18	422	1.05e-134
1960	KH2012:KH.C12.141	CSTF1	55.1	2.84e-08
1961	KH2012:KH.C12.143	EIF4E1B	256	1.68e-86
1962	KH2012:KH.C12.149	FAR1	412	1.76e-138
1963	KH2012:KH.C12.15	VOPP1	37.0	0.003
1964	KH2012:KH.C12.150	OXA1L	150	2.49e-40
1965	KH2012:KH.C12.152	RAX2	133	7.94e-36
1966	KH2012:KH.C12.153	BCKDHB	543	0
1967	KH2012:KH.C12.155	C6orf118	72.8	1.31e-13
1968	KH2012:KH.C12.156	BMP1	1265	0
1969	KH2012:KH.C12.157	KLHL20	922	0
1970	KH2012:KH.C12.158	XIAP	253	1.31e-75
1971	KH2012:KH.C12.159	ETNK1	307	6.46e-102
1972	KH2012:KH.C12.16	CPE	417	4.91e-143
1973	KH2012:KH.C12.160	ADGB	451	2.42e-134
1974	KH2012:KH.C12.161	FBN1	265	2.44e-72
1975	KH2012:KH.C12.164	CTPS1	857	0
1976	KH2012:KH.C12.165	TSPAN9	84.3	1.67e-19
1977	KH2012:KH.C12.166	STK16	274	4.68e-91
1978	KH2012:KH.C12.168	PYROXD1	422	4.04e-144
1979	KH2012:KH.C12.169	MATR3	63.9	4.92e-10
1980	KH2012:KH.C12.17	CASR	695	0
1981	KH2012:KH.C12.170	IFI44L	195	1.91e-57
1982	KH2012:KH.C12.173	TRAPPC11	489	8.92e-157
1983	KH2012:KH.C12.174	TSGA13	48.1	3.86e-06
1984	KH2012:KH.C12.175	KLHL12	135	1.49e-37
1985	KH2012:KH.C12.176	CYP1A2	245	1e-74
1986	KH2012:KH.C12.177	RASL10B	71.2	3.51e-15
1987	KH2012:KH.C12.18	ZC3H12B	369	5.09e-115
1988	KH2012:KH.C12.181	ALDH3B1	464	2.82e-161
1989	KH2012:KH.C12.182	CLIP3	70.9	3.94e-13
1990	KH2012:KH.C12.183	BMS1	645	0
1991	KH2012:KH.C12.185	RIOX2	295	4.6e-95
1992	KH2012:KH.C12.188	RPS4X	429	5.83e-154
1993	KH2012:KH.C12.189	DNAJA1	161	9.09e-46
1994	KH2012:KH.C12.19	KMT5A	191	3.91e-58
1995	KH2012:KH.C12.191	SLC23A1	527	0
1996	KH2012:KH.C12.193	ZDHHC1	174	8.67e-50
1997	KH2012:KH.C12.194	CYP2J2	269	1.27e-84
1998	KH2012:KH.C12.195	AFDN	847	0
1999	KH2012:KH.C12.196	ZNF30	56.6	3.89e-08
2000	KH2012:KH.C12.197	KIDINS220	58.5	4.37e-09
2001	KH2012:KH.C12.198	CA14	154	3.18e-42
2002	KH2012:KH.C12.2	PIKFYVE	582	1.49e-173
2003	KH2012:KH.C12.20	CLIC4	219	1.87e-71
2004	KH2012:KH.C12.200	PMPCB	602	0
2005	KH2012:KH.C12.203	CHODL	55.1	4.11e-09
2006	KH2012:KH.C12.204	GRID1	453	1.11e-142
2007	KH2012:KH.C12.205	C12orf40	45.1	8.64e-05
2008	KH2012:KH.C12.207	CPA2	308	2.16e-97
2009	KH2012:KH.C12.208	POLR1C	407	1.52e-142
2010	KH2012:KH.C12.210	GSTT2	79.3	4.33e-18
2011	KH2012:KH.C12.212	DNA2	709	0
2012	KH2012:KH.C12.213	MFSD12	418	6.64e-143
2013	KH2012:KH.C12.215	ETV6	52.4	6.97e-09
2014	KH2012:KH.C12.217	KYNU	233	7.87e-75
2015	KH2012:KH.C12.218	BCHE	442	1.2e-148
2016	KH2012:KH.C12.219	RNASEH1	179	3.57e-55
2017	KH2012:KH.C12.220	CASP7	219	1.22e-64
2018	KH2012:KH.C12.222	ZSCAN22	130	5.69e-33
2019	KH2012:KH.C12.223	ANKK1	67.4	2.08e-13
2020	KH2012:KH.C12.225	RASSF2	189	6.52e-58
2021	KH2012:KH.C12.226	DUS4L	375	5.47e-131
2022	KH2012:KH.C12.227	BIRC2	58.5	3.41e-10
2023	KH2012:KH.C12.229	MAT1A	596	0
2024	KH2012:KH.C12.23	DCP1B	184	2.43e-50
2025	KH2012:KH.C12.230	DDO	153	5.48e-43
2026	KH2012:KH.C12.231	TDO2	316	1.13e-105
2027	KH2012:KH.C12.232	IQCE	122	4.16e-29
2028	KH2012:KH.C12.233	TSPAN9	130	3.83e-37
2029	KH2012:KH.C12.234	C5orf42	226	5.51e-59
2030	KH2012:KH.C12.237	REC8	76.3	1.35e-14
2031	KH2012:KH.C12.238	PLK1	805	0
